BOROUGH CODE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LATITUDE,LONGITUDE,GROUPED CATEGORY
2,BRONX,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053,105,,A1,2323 BASSFORD AVENUE,,10458.0,1.0,0.0,1.0,922.0,1248.0,1901.0,1,A1,550000,2022-09-07,40.8559032,-73.89187849999998,Single-family home
2,BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,118,,B1,1540 WASHINGTON AVENUE,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1,B1,740000,2022-12-14,40.838093799999996,-73.9027186,Duplex
2,BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,140,,B1,3821 3RD AVENUE,,10457.0,2.0,0.0,2.0,2000.0,2400.0,1993.0,1,B1,680000,2022-05-31,40.8379833,-73.90174250000001,Duplex
2,BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,2929,114,,B1,3854 3RD AVENUE,,10457.0,2.0,0.0,2.0,2883.0,2394.0,1995.0,1,B1,525000,2022-06-09,40.838322999999995,-73.900705,Duplex
2,BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3034,40,,B1,1935 WASHINGTON AVENUE,,10457.0,2.0,0.0,2.0,2242.0,2136.0,1995.0,1,B1,773800,2022-11-03,40.8476226,-73.8980219,Duplex
2,BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3035,46,,S2,1967 WASHINGTON AVE,,10457.0,2.0,1.0,3.0,2728.0,2946.0,1899.0,1,S2,1115000,2022-06-29,40.8486693,-73.897302,Duplex
2,BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,3,,B2,4386 PARK AVENUE,,10457.0,2.0,0.0,2.0,1144.0,2889.0,1899.0,1,B2,150000,2022-12-14,40.8520221,-73.8964146,Duplex
2,BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,4,,B2,4388 PARK AVENUE,,10457.0,2.0,0.0,2.0,2275.0,1548.0,1899.0,1,B2,150000,2022-12-14,40.852099100000004,-73.8964146,Duplex
2,BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,11,,B2,4402 PARK AVENUE,,10457.0,2.0,0.0,2.0,2275.0,2774.0,1925.0,1,B2,570000,2022-09-26,40.85247589999999,-73.8960652,Duplex
2,BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,32,,B3,455 EAST 180 STREET,,10457.0,2.0,0.0,2.0,1826.0,1296.0,1899.0,1,B3,339945,2022-09-30,40.8518383,-73.89614190000002,Duplex
2,BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3038,22,,B1,460 E 183RD,,10458.0,2.0,0.0,2.0,1485.0,1536.0,1910.0,1,B1,710000,2022-12-22,40.8553521,-73.8937912,Duplex
2,BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,18,,B3,464 EAST 185 STREET,,10458.0,2.0,0.0,2.0,1800.0,1944.0,1910.0,1,B3,669000,2022-06-03,,,Duplex
2,BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3047,9,,B9,2122 WASHINGTON AVENUE,,10457.0,2.0,0.0,2.0,1258.0,2340.0,1901.0,1,B9,700000,2022-10-21,40.852017100000005,-73.895044,Duplex
2,BRONX,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,107,,B3,2319 BASSFORD AVENUE,,10458.0,2.0,0.0,2.0,927.0,1304.0,1901.0,1,B3,609000,2022-10-20,40.855800200000004,-73.8919698,Duplex
